Asset,Timeframe,Entry_Rule,Exit_Rule,Completed_Trades,Win_Rate,Total_PnL_USD,Final_Balance
BTCUSDT,1h,RSI_20,RSI_60,27,100.0,6083.9866,16083.9866
BTCUSDT,1h,RSI_20,RSI_50,27,100.0,3117.69589,13117.69589
BTCUSDT,1h,RSI_20,RSI_45,28,100.0,3057.45235,13057.45235
BTCUSDT,1h,RSI_20,RSI_40,28,100.0,2873.71946,12873.71946
BTCUSDT,1h,RSI_20,ST_BUY,27,100.0,4820.37698,14820.37698
BTCUSDT,1h,RSI_20,BB_A,28,100.0,3859.6882,13859.6882
BTCUSDT,1h,RSI_20,BB_B_0.10,36,100.0,2861.97854,12861.97854
BTCUSDT,1h,RSI_20,BB_B_0.15,36,100.0,3007.25778,13007.25778
BTCUSDT,1h,RSI_20,BB_B_0.20,36,100.0,3378.26133,13378.26133
BTCUSDT,1h,RSI_20,BB_B_0.25,36,100.0,3547.70825,13547.70825
BTCUSDT,1h,RSI_20,BB_B_0.30,35,100.0,3585.37889,13585.37889
BTCUSDT,1h,RSI_20,BB_B_0.35,35,100.0,3344.9744,13344.9744
BTCUSDT,1h,RSI_20,BB_B_0.40,35,100.0,3606.58219,13606.58219
BTCUSDT,1h,RSI_25,RSI_60,55,100.0,6558.31437,16558.31437
BTCUSDT,1h,RSI_25,RSI_50,69,100.0,6262.04105,16262.04105
BTCUSDT,1h,RSI_25,RSI_45,71,100.0,5515.74972,15515.74972
BTCUSDT,1h,RSI_25,RSI_40,76,100.0,5064.94466,15064.94466
BTCUSDT,1h,RSI_25,ST_BUY,57,100.0,6445.3604,16445.3604
BTCUSDT,1h,RSI_25,BB_A,71,100.0,6580.1393,16580.1393
BTCUSDT,1h,RSI_25,BB_B_0.10,103,100.0,11027.91129,21027.91129
BTCUSDT,1h,RSI_25,BB_B_0.15,102,100.0,11122.87665,21122.87665
BTCUSDT,1h,RSI_25,BB_B_0.20,93,100.0,10667.06534,20667.06534
BTCUSDT,1h,RSI_25,BB_B_0.25,85,100.0,11366.82454,21366.82454
BTCUSDT,1h,RSI_25,BB_B_0.30,84,100.0,11531.79165,21531.79165
BTCUSDT,1h,RSI_25,BB_B_0.35,79,100.0,11948.00959,21948.00959
BTCUSDT,1h,RSI_25,BB_B_0.40,75,100.0,12229.26448,22229.26448
BTCUSDT,1h,RSI_30,RSI_60,65,100.0,9558.59795,19558.59795
BTCUSDT,1h,RSI_30,RSI_50,86,100.0,11561.52857,21561.52857
BTCUSDT,1h,RSI_30,RSI_45,106,100.0,11376.62657,21376.62657
BTCUSDT,1h,RSI_30,RSI_40,127,100.0,9455.47014,19455.47014
BTCUSDT,1h,RSI_30,ST_BUY,66,100.0,8211.69351,18211.69351
BTCUSDT,1h,RSI_30,BB_A,99,100.0,11934.87128,21934.87128
BTCUSDT,1h,RSI_30,BB_B_0.10,128,100.0,14253.62381,24253.62381
BTCUSDT,1h,RSI_30,BB_B_0.15,125,100.0,14085.191,24085.191
BTCUSDT,1h,RSI_30,BB_B_0.20,126,100.0,14022.24953,24022.24953
BTCUSDT,1h,RSI_30,BB_B_0.25,112,100.0,14912.33234,24912.33234
BTCUSDT,1h,RSI_30,BB_B_0.30,112,100.0,15470.2083,25470.2083
BTCUSDT,1h,RSI_30,BB_B_0.35,111,100.0,15682.57887,25682.57887
BTCUSDT,1h,RSI_30,BB_B_0.40,104,100.0,16213.15247,26213.15247
BTCUSDT,1h,RSI_40,RSI_60,113,100.0,27412.88853,37412.88853
BTCUSDT,1h,RSI_40,RSI_50,170,100.0,23748.74385,33748.74385
BTCUSDT,1h,RSI_40,RSI_45,219,100.0,18705.07328,28705.07328
BTCUSDT,1h,RSI_40,RSI_40,284,100.0,16337.24602,26337.24602
BTCUSDT,1h,RSI_40,ST_BUY,125,100.0,28540.43181,38540.43181
BTCUSDT,1h,RSI_40,BB_A,160,100.0,20251.5415,30251.5415
BTCUSDT,1h,RSI_40,BB_B_0.10,222,100.0,22706.54996,32706.54996
BTCUSDT,1h,RSI_40,BB_B_0.15,217,100.0,22461.67103,32461.67103
BTCUSDT,1h,RSI_40,BB_B_0.20,211,100.0,22360.49306,32360.49306
BTCUSDT,1h,RSI_40,BB_B_0.25,202,100.0,21867.4044,31867.4044
BTCUSDT,1h,RSI_40,BB_B_0.30,199,100.0,22121.78721,32121.78721
BTCUSDT,1h,RSI_40,BB_B_0.35,195,100.0,22080.49788,32080.49788
BTCUSDT,1h,RSI_40,BB_B_0.40,191,100.0,22754.65114,32754.65114
BTCUSDT,1h,BB_Reversal,RSI_60,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,RSI_50,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,RSI_45,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,RSI_40,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,ST_BUY,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_A,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_B_0.10,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_B_0.15,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_B_0.20,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_B_0.25,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_B_0.30,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_B_0.35,0,0.0,0.0,10000.0
BTCUSDT,1h,BB_Reversal,BB_B_0.40,0,0.0,0.0,10000.0
BTCUSDT,1h,KAMA_ST,RSI_60,121,100.0,28233.4586,38233.4586
BTCUSDT,1h,KAMA_ST,RSI_50,270,100.0,27621.05005,37621.05005
BTCUSDT,1h,KAMA_ST,RSI_45,386,100.0,29457.97843,39457.97843
BTCUSDT,1h,KAMA_ST,RSI_40,463,100.0,30841.97186,40841.97186
BTCUSDT,1h,KAMA_ST,ST_BUY,108,100.0,26640.64427,36640.64427
BTCUSDT,1h,KAMA_ST,BB_A,255,100.0,25441.56504,35441.56504
BTCUSDT,1h,KAMA_ST,BB_B_0.10,200,100.0,27157.795,37157.795
BTCUSDT,1h,KAMA_ST,BB_B_0.15,195,100.0,26707.89807,36707.89807
BTCUSDT,1h,KAMA_ST,BB_B_0.20,190,100.0,25044.09972,35044.09972
BTCUSDT,1h,KAMA_ST,BB_B_0.25,187,100.0,25206.6111,35206.6111
BTCUSDT,1h,KAMA_ST,BB_B_0.30,178,100.0,24508.43748,34508.43748
BTCUSDT,1h,KAMA_ST,BB_B_0.35,189,100.0,25410.45917,35410.45917
BTCUSDT,1h,KAMA_ST,BB_B_0.40,195,100.0,26891.38277,36891.38277
BTCUSDT,4h,RSI_20,RSI_60,10,100.0,7487.77322,17487.77322
BTCUSDT,4h,RSI_20,RSI_50,10,100.0,5476.47146,15476.47146
BTCUSDT,4h,RSI_20,RSI_45,10,100.0,3923.25026,13923.25026
BTCUSDT,4h,RSI_20,RSI_40,10,100.0,3524.10516,13524.10516
BTCUSDT,4h,RSI_20,ST_BUY,10,100.0,6284.67187,16284.67187
BTCUSDT,4h,RSI_20,BB_A,10,100.0,4865.37213,14865.37213
BTCUSDT,4h,RSI_20,BB_B_0.10,11,100.0,3356.3933,13356.3933
BTCUSDT,4h,RSI_20,BB_B_0.15,11,100.0,3280.03367,13280.03367
BTCUSDT,4h,RSI_20,BB_B_0.20,11,100.0,3884.56242,13884.56242
BTCUSDT,4h,RSI_20,BB_B_0.25,11,100.0,4319.07818,14319.07818
BTCUSDT,4h,RSI_20,BB_B_0.30,11,100.0,4260.17718,14260.17718
BTCUSDT,4h,RSI_20,BB_B_0.35,11,100.0,4476.11727,14476.11727
BTCUSDT,4h,RSI_20,BB_B_0.40,11,100.0,5069.9232,15069.9232
BTCUSDT,4h,RSI_25,RSI_60,21,100.0,13199.55124,23199.55124
BTCUSDT,4h,RSI_25,RSI_50,23,100.0,11294.89179,21294.89179
BTCUSDT,4h,RSI_25,RSI_45,24,100.0,8904.33206,18904.33206
BTCUSDT,4h,RSI_25,RSI_40,24,100.0,6368.63393,16368.63393
BTCUSDT,4h,RSI_25,ST_BUY,23,100.0,16070.5724,26070.5724
BTCUSDT,4h,RSI_25,BB_A,24,100.0,9237.92597,19237.92597
BTCUSDT,4h,RSI_25,BB_B_0.10,27,100.0,5697.58056,15697.58056
BTCUSDT,4h,RSI_25,BB_B_0.15,26,100.0,5487.59956,15487.59956
BTCUSDT,4h,RSI_25,BB_B_0.20,26,100.0,6119.80059,16119.80059
BTCUSDT,4h,RSI_25,BB_B_0.25,26,100.0,6202.47882,16202.47882
BTCUSDT,4h,RSI_25,BB_B_0.30,25,100.0,5753.31336,15753.31336
BTCUSDT,4h,RSI_25,BB_B_0.35,23,100.0,7704.97018,17704.97018
BTCUSDT,4h,RSI_25,BB_B_0.40,23,100.0,8327.71567,18327.71567
