======================================================================
TRADING BOT LOG FILE
======================================================================

[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-02-02 03:00:00, Price: 38552.87, Cash: $0.00, Position: 0.25938, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=57.98, BB_Lower=37048.80, KAMA=38089.37, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-02-02 15:00:00, Price: 37429.78, New Balance: $9708.69, PnL: $-291.31 (-2.91%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=43.58, BB_Lower=36985.81, KAMA=38044.59, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-02-05 03:00:00, Price: 41447.85, Cash: $0.00, Position: 0.23424, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=74.97, BB_Lower=35110.27, KAMA=40005.13, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-02-05 07:00:00, Price: 41379.99, New Balance: $9692.79, PnL: $-15.90 (-0.16%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=74.14, BB_Lower=34930.04, KAMA=40398.54, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-02-05 19:00:00, Price: 41544.90, Cash: $0.00, Position: 0.23331, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=72.87, BB_Lower=34629.82, KAMA=41262.43, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-02-05 23:00:00, Price: 41382.59, New Balance: $9654.92, PnL: $-37.87 (-0.39%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=70.62, BB_Lower=34723.37, KAMA=41293.34, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-02-06 11:00:00, Price: 41522.00, Cash: $0.00, Position: 0.23253, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=70.57, BB_Lower=35396.87, KAMA=41402.97, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-02-06 15:00:00, Price: 41519.49, New Balance: $9654.34, PnL: $-0.58 (-0.01%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=70.53, BB_Lower=35731.00, KAMA=41403.92, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-02-09 11:00:00, Price: 43715.45, Cash: $0.00, Position: 0.22085, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=59.92, BB_Lower=41149.16, KAMA=43892.34, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-02-11 19:00:00, Price: 42742.63, New Balance: $9439.50, PnL: $-214.84 (-2.23%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=44.47, BB_Lower=42635.94, KAMA=43906.35, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-02-11 23:00:00, Price: 42373.73, Cash: $0.00, Position: 0.22277, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=41.64, BB_Lower=42427.05, KAMA=43751.33, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-02-15 03:00:00, Price: 43567.76, New Balance: $9705.49, PnL: $265.99 (2.82%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=59.80, BB_Lower=41648.31, KAMA=42644.69, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-02-15 15:00:00, Price: 44198.96, Cash: $0.00, Position: 0.21959, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=64.47, BB_Lower=41201.84, KAMA=43168.24, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-02-15 23:00:00, Price: 44544.86, New Balance: $9781.44, PnL: $75.95 (0.78%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=65.96, BB_Lower=41102.16, KAMA=43489.73, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-02 03:00:00, Price: 44324.65, Cash: $0.00, Position: 0.22068, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=76.20, BB_Lower=35708.81, KAMA=43949.89, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-02 07:00:00, Price: 43973.09, New Balance: $9703.86, PnL: $-77.58 (-0.79%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=72.16, BB_Lower=35836.72, KAMA=43956.41, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-02 19:00:00, Price: 43704.42, Cash: $0.00, Position: 0.22203, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=67.60, BB_Lower=36590.30, KAMA=44000.11, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-03 15:00:00, Price: 42547.34, New Balance: $9446.95, PnL: $-256.91 (-2.65%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=52.80, BB_Lower=40233.32, KAMA=43675.52, ST_DIR=1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-03 19:00:00, Price: 42226.74, Cash: $0.00, Position: 0.22372, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=49.80, BB_Lower=41438.31, KAMA=43357.07, ST_DIR=1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-04 15:00:00, Price: 40694.32, New Balance: $9104.12, PnL: $-342.83 (-3.63%), Strategy: IchimokuCustomStrategy, Trigger: StopLoss, Indicators: RSI=38.28, BB_Lower=40902.86, KAMA=41953.51, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-04 19:00:00, Price: 39782.13, Cash: $0.00, Position: 0.22885, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=32.93, BB_Lower=40273.90, KAMA=41390.40, ST_DIR=-1
[2025-11-29 13:40:19] Sold BTCUSDT, Date: 2022-03-04 23:00:00, Price: 39148.66, New Balance: $8959.15, PnL: $-144.97 (-1.59%), Strategy: IchimokuCustomStrategy, Trigger: CustomExit, Indicators: RSI=29.82, BB_Lower=39585.63, KAMA=40680.93, ST_DIR=-1
[2025-11-29 13:40:19] Bought BTCUSDT, Date: 2022-03-05 23:00:00, Price: 39397.96, Cash: $0.00, Position: 0.22740, Strategy: IchimokuCustomStrategy, Trigger: IchimokuEntry, Indicators: RSI=34.45, BB_Lower=37565.72, KAMA=39468.35, ST_DIR=-1
