Asset,Timeframe,Entry_Rule,Exit_Rule,Total_PnL_USD,Win_Rate,Completed_Trades
BTCUSDT,1h,RSI_20,RSI_60,5840.95555,100.0,28
BTCUSDT,1h,RSI_20,RSI_50,3732.78979,100.0,28
BTCUSDT,1h,RSI_20,RSI_45,3950.99652,100.0,29
BTCUSDT,1h,RSI_20,RSI_40,3678.63231,100.0,29
BTCUSDT,1h,RSI_20,ST_BUY,4897.51815,100.0,28
BTCUSDT,1h,RSI_20,BB_A,4347.46303,100.0,29
BTCUSDT,1h,RSI_20,BB_B_0.10,3984.79433,100.0,36
BTCUSDT,1h,RSI_20,BB_B_0.15,4114.96274,100.0,36
BTCUSDT,1h,RSI_20,BB_B_0.20,4432.03931,100.0,36
BTCUSDT,1h,RSI_20,BB_B_0.25,4786.65663,100.0,36
BTCUSDT,1h,RSI_20,BB_B_0.30,4682.16672,100.0,35
BTCUSDT,1h,RSI_20,BB_B_0.35,4474.01015,100.0,35
BTCUSDT,1h,RSI_20,BB_B_0.40,4781.20914,100.0,35
BTCUSDT,1h,RSI_25,RSI_60,2575.5019,100.0,42
BTCUSDT,1h,RSI_25,RSI_50,3090.99029,100.0,54
BTCUSDT,1h,RSI_25,RSI_45,3119.63548,100.0,56
BTCUSDT,1h,RSI_25,RSI_40,2903.78035,100.0,58
BTCUSDT,1h,RSI_25,ST_BUY,2511.11974,100.0,44
BTCUSDT,1h,RSI_25,BB_A,4229.22899,100.0,55
BTCUSDT,1h,RSI_25,BB_B_0.10,5241.12047,100.0,79
BTCUSDT,1h,RSI_25,BB_B_0.15,5355.1399,100.0,78
BTCUSDT,1h,RSI_25,BB_B_0.20,4854.9754,100.0,70
BTCUSDT,1h,RSI_25,BB_B_0.25,5232.58248,100.0,62
BTCUSDT,1h,RSI_25,BB_B_0.30,5262.08424,100.0,61
BTCUSDT,1h,RSI_25,BB_B_0.35,5212.3023,100.0,55
BTCUSDT,1h,RSI_25,BB_B_0.40,5353.68322,100.0,52
BTCUSDT,1h,RSI_30,RSI_60,4626.93125,100.0,49
BTCUSDT,1h,RSI_30,RSI_50,6090.80466,100.0,66
BTCUSDT,1h,RSI_30,RSI_45,6462.47972,100.0,85
BTCUSDT,1h,RSI_30,RSI_40,6046.30729,100.0,106
BTCUSDT,1h,RSI_30,ST_BUY,4784.85222,100.0,52
BTCUSDT,1h,RSI_30,BB_A,7564.97847,100.0,79
BTCUSDT,1h,RSI_30,BB_B_0.10,5997.26015,100.0,95
BTCUSDT,1h,RSI_30,BB_B_0.15,5976.26238,100.0,93
BTCUSDT,1h,RSI_30,BB_B_0.20,5765.86941,100.0,96
BTCUSDT,1h,RSI_30,BB_B_0.25,6107.42232,100.0,82
BTCUSDT,1h,RSI_30,BB_B_0.30,6296.88207,100.0,82
BTCUSDT,1h,RSI_30,BB_B_0.35,6366.61167,100.0,81
BTCUSDT,1h,RSI_30,BB_B_0.40,6680.14839,100.0,72
BTCUSDT,1h,RSI_40,RSI_60,12073.17773,100.0,80
BTCUSDT,1h,RSI_40,RSI_50,12366.03272,100.0,125
BTCUSDT,1h,RSI_40,RSI_45,9735.53505,100.0,155
BTCUSDT,1h,RSI_40,RSI_40,8680.52537,100.0,198
BTCUSDT,1h,RSI_40,ST_BUY,12423.99598,100.0,92
BTCUSDT,1h,RSI_40,BB_A,9608.02282,100.0,114
BTCUSDT,1h,RSI_40,BB_B_0.10,5346.70314,100.0,127
BTCUSDT,1h,RSI_40,BB_B_0.15,5399.61574,100.0,125
BTCUSDT,1h,RSI_40,BB_B_0.20,5310.38845,100.0,120
BTCUSDT,1h,RSI_40,BB_B_0.25,5198.29524,100.0,116
BTCUSDT,1h,RSI_40,BB_B_0.30,5222.57408,100.0,115
BTCUSDT,1h,RSI_40,BB_B_0.35,4967.75686,100.0,112
BTCUSDT,1h,RSI_40,BB_B_0.40,4678.02004,100.0,106
BTCUSDT,1h,BB_Reversal,RSI_60,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,RSI_50,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,RSI_45,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,RSI_40,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,ST_BUY,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_A,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_B_0.10,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_B_0.15,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_B_0.20,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_B_0.25,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_B_0.30,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_B_0.35,0.0,0.0,0
BTCUSDT,1h,BB_Reversal,BB_B_0.40,0.0,0.0,0
BTCUSDT,1h,KAMA_ST,RSI_60,8892.95088,100.0,76
BTCUSDT,1h,KAMA_ST,RSI_50,9869.2105,100.0,171
BTCUSDT,1h,KAMA_ST,RSI_45,9610.11136,100.0,236
BTCUSDT,1h,KAMA_ST,RSI_40,9926.95592,100.0,282
BTCUSDT,1h,KAMA_ST,ST_BUY,8853.37212,100.0,74
BTCUSDT,1h,KAMA_ST,BB_A,7676.64986,100.0,146
BTCUSDT,1h,KAMA_ST,BB_B_0.10,4256.61438,100.0,93
BTCUSDT,1h,KAMA_ST,BB_B_0.15,4266.14457,100.0,91
BTCUSDT,1h,KAMA_ST,BB_B_0.20,3540.31986,100.0,86
